scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
37569;THIBAULT;7;260,5;631,5;10,53;2571
69181;DUMONT;7;260,5;673;11,22;2095
44720;BARBIER;7;261;482;8,03;3142
77920;MARION;7;261;488,5;8,14;3135
1036;BOULAY;7;261;631,25;10,52;2573
37685;DAVID;7;261;638,25;10,64;2495
105607;PIERRE;7;262;488,75;8,15;3133
95207;DEVAUX;7;262;520;8,67;3081
68046;BONNEAU;7;262;638,75;10,65;2488
102107;HEBERT;7;262;664;11,07;2209
44564;DA COSTA;7;262,5;498,25;8,3;3121
36045;GRONDIN;7;262,5;638;10,63;2498
108218;WAGNER;7;263;491,25;8,19;3130
37006;BLANC;7;263;651,5;10,86;2324
693;MORIN;7;264;491,75;8,2;3129
64467;NICOLAS;7;264;617,75;10,3;2699
50158;LAUNAY;7;264,5;503,5;8,39;3116
79048;CHEVALLIER;7;264,5;651,75;10,86;2321
16905;DIAS;7;265;500,25;8,34;3118
86690;DURAND;7;265;506,25;8,44;3111
85701;GUILLOU;7;265;563,75;9,4;3017
52310;LACROIX;7;265,5;685,25;11,42;1921
81875;LEBLANC;7;266;508,5;8,48;3105
50613;BLOT;7;266;675,75;11,26;2053
71781;MONNIER;7;266,5;485;8,08;3138
96206;ANDRE;7;266,5;511;8,52;3102
65581;JEAN;7;266,5;687,75;11,46;1888
112487;FERREIRA;7;267;553,75;9,23;3058
100845;MOULIN;7;267;570,25;9,5;2995
79467;MARIE;7;267;622,75;10,38;2658
110607;BOURGEOIS;7;267;718,5;11,98;1425
8969;DESCAMPS;7;267,5;493;8,22;3128
115445;DA SILVA;7;267,5;507,25;8,45;3110
13386;MARCHAL;7;268;498,5;8,31;3120
2536;DELORME;7;268;561,75;9,36;3030
33336;PASCAL;7;268;628,75;10,48;2602
76362;GUILBERT;7;269;542,5;9,04;3082
35948;BOUTIN;7;269;553;9,22;3060
78856;MARIE;7;269;650;10,83;2343
89059;LEFEVRE;7;269;651,75;10,86;2322
116916;LEGER;7;269;674;11,23;2075
30164;MARTINS;7;269,5;535,75;8,93;3045
1929;DESCHAMPS;7;269,5;647,75;10,8;2372
92864;LEROY;7;270;504,75;8,41;3113
112796;BIGOT;7;270;630,5;10,51;2583
16779;GARNIER;7;270;664,25;11,07;2205
65401;DUHAMEL;7;270,5;623;10,38;2653
7512;RIVIERE;7;270,5;627,25;10,45;2611
5537;PERROT;7;270,5;647;10,78;2389
106764;BARON;7;271;583,5;9,73;2929
109546;GUYON;7;271;650;10,83;2342
41374;WEISS;7;271;655,25;10,92;2298
63247;GROS;7;271;693,75;11,56;1795
39474;LAPORTE;7;271,5;637;10,62;2516
28743;BIGOT;7;272;545,5;9,09;3074
49310;MOREL;7;272;573;9,55;2984
104796;ROUSSET;7;272;658,75;10,98;2266
16892;BOULANGER;7;272;702,25;11,7;1665
6329;ANDRE;7;272,5;531,25;8,85;3057
29920;DELATTRE;7;273;507,5;8,46;3109
1140;MONNIER;7;273;557,5;9,29;3047
99062;PETITJEAN;7;273;623,75;10,4;2646
40816;GARCIA;7;273;645,5;10,76;2402
55303;HAMON;7;273;648,75;10,81;2355
72718;BONNIN;7;273;669,5;11,16;2142
72683;DUBOIS;7;273;673,75;11,23;2077
94663;CLEMENT;7;273,5;512,5;8,54;3098
91793;MARTINS;7;273,5;544,25;9,07;3007
37583;FAURE;7;274;497,75;8,3;3123
117010;DURAND;7;274;586,5;9,78;2911
118537;GOSSELIN;7;274;628,25;10,47;2606
115611;LEJEUNE;7;274;632;10,53;2563
41094;LEROY;7;275,5;638,25;10,64;2494
88930;BLANCHARD;7;275,5;679,5;11,33;2004
55090;LENOIR;7;276;609;10,15;2762
92693;ROLLAND;7;276;640,25;10,67;2471
40526;SAMSON;7;276;652,5;10,88;2316
26829;HARDY;7;276;665,25;11,09;2195
30130;HENRY;7;276;672;11,2;2111
23659;BONNET;7;276;690;11,5;1852
30944;ROLLAND;7;276;695,75;11,6;1756
63393;LEFEVRE;7;276,5;674,75;11,25;2068
27693;POTTIER;7;276,5;692,75;11,55;1811
61254;MARQUES;7;277;581;9,68;2942
59839;TEIXEIRA;7;277;646,5;10,78;2394
32775;LEFEBVRE;7;277;671,5;11,19;2122
109638;MAHE;7;278;496,5;8,28;3124
77627;AUBERT;7;278;555,5;9,26;3053
118330;COLIN;7;278;600,5;10,01;2832
33906;ANDRE;7;278;630,5;10,51;2582
43077;DEVAUX;7;278;635,5;10,59;2528
96268;DELATTRE;7;278;667,5;11,13;2165
73675;PARIS;7;278;681,75;11,36;1978
20619;TECHER;7;278;701,5;11,69;1678
37103;BLIN;7;278,5;647;10,78;2388
117452;POIRIER;7;279;504,25;8,4;3115
109510;JOURDAN;7;279;539,25;8,99;3028
100487;LE ROUX;7;279;582,5;9,71;2938
83874;GILLES;7;279;647,75;10,8;2370
91284;JOURDAN;7;279,5;515,5;8,59;3090
16705;JOURDAN;7;279,5;646,5;10,78;2393
113730;GERARD;7;279,5;674,75;11,25;2067
87295;OLIVIER;7;280;559,25;9,32;3041
71627;PELTIER;7;280;641,5;10,69;2453
44514;MARTINS;7;280;681,25;11,35;1982
34208;MARTIN;7;280;695,5;11,59;1760
60755;POTIER;7;280,5;516,25;8,6;3089
60912;HEBERT;7;280,5;520,5;8,68;3080
113836;MONNIER;7;280,5;678,75;11,31;2017
33588;EVRARD;7;281;560;9,33;3035
22791;RICHARD;7;281;565,75;9,43;3009
78877;DELAHAYE;7;281;580,5;9,68;2946
82326;CHARPENTIER;7;281;585,25;9,75;2920
45348;COLAS;7;281;685,25;11,42;1920
29862;LEBRUN;7;281,5;499,25;8,32;3119
98533;PASQUIER;7;281,5;558,25;9,3;3046
33986;LAMY;7;282;565,75;9,43;3010
88667;GALLET;7;282,5;518,75;8,65;3084
42916;WEISS;7;282,5;612,25;10,2;2742
79706;LAURENT;7;282,5;659,75;11;2258
41819;GAILLARD;7;283;657,75;10,96;2278
82001;MAURY;7;283,5;537,5;8,96;3033
119437;BOUCHER;7;283,5;545,25;9,09;3002
114422;MARTINEAU;7;283,5;638;10,63;2499
111419;SIMON;7;283,5;649;10,82;2351
53210;JOSEPH;7;283,5;676,25;11,27;2048
17016;BEGUE;7;283,5;682,25;11,37;1969
96853;DOS SANTOS;7;284;537;8,95;3038
114713;BENOIT;7;284;558,75;9,31;3043
95862;ROUSSET;7;284;559,75;9,33;3037
13013;GONZALEZ;7;284;626,5;10,44;2617
87189;LEROUX;7;284;684,25;11,4;1941
29131;LEMAITRE;7;284;685,5;11,43;1917
80450;TEXIER;7;284;710,25;11,84;1561
72666;LELEU;7;284,5;537,75;8,96;3032
94049;GAUTHIER;7;284,5;574,5;9,58;2975
67494;LEVY;7;284,5;661,75;11,03;2235
21968;ROLLAND;7;284,5;668,75;11,15;2154
63942;MEYER;7;285;529,25;8,82;3062
109067;MARIE;7;285;559,5;9,33;3039
53570;DUHAMEL;7;285;562,25;9,37;3027
27727;DUPONT;7;285;578,75;9,65;2952
37857;EVRARD;7;285;587;9,78;2905
93886;FERREIRA;7;285;687;11,45;1897
52130;COUSIN;7;285;694,5;11,58;1782
24;LEFORT;7;285;715,75;11,93;1472
87196;DESCAMPS;7;285,5;638,5;10,64;2491
9010;AUBRY;7;286;508,25;8,47;3106
110094;BARBE;7;286;551,25;9,19;2977
22914;DELATTRE;7;286;552,25;9,2;2973
90888;GERMAIN;7;286;572,25;9,54;2990
40717;COSTA;7;286;622,75;10,38;2657
39138;BARBIER;7;286;658;10,97;2277
58867;GREGOIRE;7;286;677;11,28;2042
36093;BRUNEL;7;286;750;12,5;982
63775;MAILLARD;7;286,5;506;8,43;3112
78562;DESCAMPS;7;286,5;529,5;8,83;3061
4089;MAURY;7;286,5;545,25;9,09;3001
95198;ROBERT;7;286,5;658,5;10,98;2269
70996;COLLET;7;286,5;718,75;11,98;1419
78176;COURTOIS;7;287;507,5;8,46;3108
14936;DIDIER;7;287;508,75;8,48;3104
104265;COLLET;7;287;525,75;8,76;3067
62534;CARPENTIER;7;287;544,5;9,08;3005
699;RICHARD;7;287;548,5;9,14;2993
51117;CHARTIER;7;287;563,5;9,39;3019
112688;BLANCHARD;7;287;647,25;10,79;2382
98304;ROYER;7;287;664,25;11,07;2204
107919;VALLET;7;287,5;521,25;8,69;3078
87718;BRUN;7;287,5;531,25;8,85;3056
54478;PRUVOST;7;287,5;652,5;10,88;2317
68558;PERROT;7;287,5;689;11,48;1865
86770;LAUNAY;7;288;511;8,52;3100
78757;DELAHAYE;7;288;525,25;8,75;3068
2741;PERON;7;288;527;8,78;3065
117335;DIAS;7;288;541,25;9,02;3016
68563;BOULANGER;7;288;556;9,27;2953
22813;DIAS;7;288;586,5;9,78;2910
113846;JOLY;7;288;627,5;10,46;2609
96683;CARPENTIER;7;288;657,5;10,96;2281
34325;AUBERT;7;288;658,75;10,98;2267
92919;MUNOZ;7;288;664,25;11,07;2206
714;BERTIN;7;288,5;513;8,55;3096
21503;TORRES;7;288,5;513,5;8,56;3095
89082;DUPUY;7;288,5;522,25;8,7;3076
91702;REMY;7;288,5;546;9,1;2997
108760;ROSSI;7;288,5;556;9,27;2954
68446;GAUTHIER;7;288,5;652,75;10,88;2313
29564;DELORME;7;288,5;677;11,28;2041
114042;NGUYEN;7;289;516,25;8,6;3088
97979;ROGER;7;289;531;8,85;3059
101751;ROUSSEAU;7;289;566,25;9,44;3008
87091;MICHAUD;7;289;660,25;11;2252
98007;RENARD;7;289;702,5;11,71;1664
66881;COUTURIER;7;289;709,75;11,83;1569
56320;LACROIX;7;289;716;11,93;1468
39720;BARBIER;7;289;781,75;13,03;605
85092;VALENTIN;7;289,5;510;8,5;3103
34672;LE GALL;7;289,5;523,75;8,73;3073
112118;GILLET;7;289,5;552,75;9,21;2971
8309;DIAS;7;289,5;573,5;9,56;2981
74736;PONS;7;289,5;659,25;10,99;2261
82972;LEBON;7;290;517;8,62;3086
93957;MONNIER;7;290;614,5;10,24;2724
3629;MARTIN;7;290;663;11,05;2220
88665;ALEXANDRE;7;290;698,25;11,64;1724
1210;NGUYEN;7;290;724,25;12,07;1326
70888;VALLEE;7;290,5;508,25;8,47;3107
17990;PASCAL;7;290,5;515,25;8,59;3091
50854;MAURY;7;290,5;673,75;11,23;2079
103113;FLEURY;7;291;599,75;10;2834
59898;BLANCHARD;7;291;658;10,97;2276
2905;RAMOS;7;291;707,5;11,79;1603
90016;DELORME;7;291,5;549,75;9,16;2989
2761;BLIN;7;291,5;550;9,17;2987
81207;MASSON;7;291,5;654;10,9;2304
47706;LEGRAND;7;291,5;687,75;11,46;1889
54081;LUCAS;7;291,5;704,25;11,74;1644
3484;PREVOST;7;291,5;724,5;12,08;1320
55180;DELORME;7;292;612,75;10,21;2738
53100;COULON;7;292;641,75;10,7;2451
78512;LAINE;7;292;682,75;11,38;1961
57249;ALEXANDRE;7;292;690;11,5;1851
1963;MENDES;7;292,5;655;10,92;2300
42422;PERROT;7;293;532,5;8,88;3055
54807;ROBERT;7;293;640,75;10,68;2465
27887;MARIE;7;293;669,75;11,16;2138
72396;PICHON;7;293;689;11,48;1866
983;SEGUIN;7;293;715,75;11,93;1471
43831;RIBEIRO;7;293,5;515;8,58;3094
34253;BIGOT;7;293,5;539,75;9;3025
232;HUET;7;293,5;542,25;9,04;3012
85981;LEMONNIER;7;294;575,5;9,59;2970
74406;LEBLANC;7;294;578,75;9,65;2951
16471;ROBERT;7;294;603;10,05;2812
22445;CHARTIER;7;294;663,25;11,05;2217
64432;ROUSSEAU;7;294;676,25;11,27;2050
18090;BIGOT;7;294;689;11,48;1867
75953;IMBERT;7;294;695,25;11,59;1768
64934;BAUDRY;7;294;702,25;11,7;1667
40754;REYNAUD;7;294,5;539,75;9;3026
88864;FERRAND;7;294,5;542;9,03;3013
51075;VIDAL;7;295;523,75;8,73;3072
23062;NORMAND;7;295;552,75;9,21;2972
83741;MARCHAL;7;295;564;9,4;2908
76217;BOYER;7;295;759,75;12,66;871
47642;FOURNIER;7;295,5;516,75;8,61;3087
119194;MENARD;7;295,5;534;8,9;3051
42523;TURPIN;7;295,5;541;9,02;3018
79577;LEMAIRE;7;295,5;564,25;9,4;2906
9838;BERGER;7;296;653,75;10,9;2309
26248;LEMOINE;7;296;673,75;11,23;2076
112531;BERTRAND;7;296;749,75;12,5;988
21412;PICARD;7;296,5;553,75;9,23;2965
77293;PEREZ;7;296,5;665;11,08;2196
39794;WEBER;7;296,5;688;11,47;1885
52308;GUIBERT;7;297;666,75;11,11;2175
13121;ALLAIN;7;297;666,5;11,11;2178
67380;LETELLIER;7;297;670,75;11,18;2131
11994;LELIEVRE;7;297;674,5;11,24;2071
29766;LEBRETON;7;297;693,75;11,56;1793
108098;GARNIER;7;297;723;12,05;1353
27205;ALBERT;7;298;570,75;9,51;2994
114766;BESNARD;7;298;585,75;9,76;2916
2757;MACE;7;298;688;11,47;1884
92799;VALLET;7;298,5;518,5;8,64;3085
45013;THIERRY;7;298,5;552,25;9,2;2974
119869;VAILLANT;7;298,5;555,25;9,25;2961
72478;LEBRETON;7;298,5;683,5;11,39;1952
58494;BERNIER;7;299;522,5;8,71;3075
97448;PELLETIER;7;299;603,25;10,05;2810
25528;PEREIRA;7;299;615,5;10,26;2716
27960;TEXIER;7;299;621,25;10,35;2670
62267;THIERRY;7;299;673,25;11,22;2085
11460;ALBERT;7;299;708,5;11,81;1590
24484;BLONDEL;7;299;744,5;12,41;1055
99319;DELAHAYE;7;299,5;534,75;8,91;3049
110751;VALLET;7;299,5;551;9,18;2980
70342;LECOMTE;7;299,5;565,25;9,42;2898
41667;DUPONT;7;299,5;673,25;11,22;2086
116938;ROUSSEL;7;299,5;706,5;11,78;1615
49695;PAGES;7;300;524;8,73;3071
59198;CARLIER;7;300;551,25;9,19;2978
4233;MAHE;7;300;601,25;10,02;2828
38359;MORIN;7;300;601,75;10,03;2824
113681;GARNIER;7;300;624,75;10,41;2640
14841;MARTY;7;300;646;10,77;2399
84474;DUPUIS;7;300;668,5;11,14;2160
22378;DIJOUX;7;300;672,25;11,2;2108
1326;PERON;7;300;673;11,22;2093
539;VAILLANT;7;300;708,25;11,8;1592
69215;REGNIER;7;300;707,75;11,8;1598
33676;HUMBERT;7;300,5;682,75;11,38;1963
81675;ALVES;7;301;521,25;8,69;3079
38996;ROBERT;7;301;528;8,8;3063
63455;MAILLARD;7;301;550,25;9,17;2985
21914;LE ROUX;7;301;599,25;9,99;2835
35045;CHAUVEAU;7;301;672;11,2;2114
108076;VALENTIN;7;301;681,5;11,36;1979
28143;LEJEUNE;7;301;691,5;11,53;1829
2153;BEGUE;7;301;699,25;11,65;1711
94335;BARTHELEMY;7;301;738,75;12,31;1124
52023;CHEVALIER;7;301,5;540,25;9;3022
78610;NGUYEN;7;301,5;634;10,57;2543
19502;GOMES;7;301,5;718,5;11,98;1422
40416;DOS SANTOS;7;302;555;9,25;2962
86315;ROLLAND;7;302;560,5;9,34;2934
35752;COSTE;7;302;637,25;10,62;2507
22769;MAURY;7;302;658,5;10,98;2270
88497;MEUNIER;7;302;672,5;11,21;2106
51533;DUFOUR;7;302;716,75;11,95;1451
87286;BERTIN;7;302;719,75;12;1406
62041;JOURDAN;7;302,5;540,5;9,01;3020
113179;GIRARD;7;302,5;567,5;9,46;2887
104781;SAMSON;7;302,5;661,25;11,02;2242
80036;BAILLY;7;302,5;666;11,1;2185
8397;GRONDIN;7;302,5;718;11,97;1430
85005;LEGER;7;303;553,25;9,22;2969
60752;DAVID;7;303;585;9,75;2921
65579;ANTOINE;7;303;666,75;11,11;2174
68300;DELAHAYE;7;303;671;11,18;2127
69940;PASQUIER;7;303;687;11,45;1894
57026;BLIN;7;303;719,75;12;1405
86579;BAILLY;7;303,5;677;11,28;2043
94840;JACQUES;7;303,5;718;11,97;1432
104394;MEYER;7;304;558,75;9,31;2940
101700;MARY;7;304;616,25;10,27;2709
21858;PHILIPPE;7;304;648;10,8;2367
90312;THIBAULT;7;304;655,5;10,93;2297
14000;FAIVRE;7;304;687,25;11,45;1891
111930;TURPIN;7;304;719,75;12;1403
107836;PARENT;7;304;723,75;12,06;1335
63196;MALLET;7;304,5;540,5;9,01;3021
94136;HUMBERT;7;304,5;559,5;9,33;2939
56490;LE GOFF;7;304,5;673,5;11,23;2083
118918;LOMBARD;7;304,5;686,25;11,44;1904
51023;AUGER;7;305;600,5;10,01;2830
8308;LEGROS;7;305;620,25;10,34;2680
96599;DUMAS;7;305;660,5;11,01;2250
94593;MARTINS;7;305;704;11,73;1647
96772;JOLY;7;305;726,25;12,1;1291
62486;BENOIT;7;305,5;560,75;9,35;2930
112998;ALLARD;7;305,5;566,75;9,45;2889
107275;GUYOT;7;305,5;676,5;11,28;2046
19309;GOMES;7;305,5;703;11,72;1659
6679;RENAULT;7;306;570;9,5;2875
62969;MALLET;7;306;584,25;9,74;2926
10703;CORDIER;7;306;601,25;10,02;2827
16718;OLIVIER;7;306;608,5;10,14;2766
81023;ROCHER;7;306;659,75;11;2256
91569;GUILLAUME;7;306;663,25;11,05;2218
84892;DUBOIS;7;306;664,25;11,07;2203
87145;HOAREAU;7;306;672;11,2;2110
57581;MARTIN;7;306;680,25;11,34;1994
91797;PIRES;7;306;732,25;12,2;1221
3312;PERROT;7;306,5;527,5;8,79;3064
86102;CARLIER;7;306,5;583,75;9,73;2927
74161;WAGNER;7;306,5;684,5;11,41;1936
985;GUILLET;7;306,5;689,25;11,49;1861
51506;PERROT;7;307;556,75;9,28;2949
4032;MAILLARD;7;307;586,75;9,78;2907
92598;BESSON;7;307;616,5;10,28;2707
107778;DUPUY;7;307;706,75;11,78;1609
4946;THOMAS;7;307;711,5;11,86;1535
93830;TANGUY;7;307,5;558,5;9,31;2941
95950;CLEMENT;7;307,5;688,5;11,48;1874
103154;CHAUVET;7;307,5;712,75;11,88;1509
23023;NAVARRO;7;308;566;9,43;2892
107838;DUMONT;7;308;644;10,73;2422
11596;BECKER;7;308;643,75;10,73;2424
61972;PINEAU;7;308;663,75;11,06;2213
69033;DESCHAMPS;7;308;675,5;11,26;2057
106210;LAURENT;7;308;685;11,42;1927
12125;GUILLOU;7;308;712,25;11,87;1522
50834;BERTIN;7;308;718,25;11,97;1427
31225;LESAGE;7;308,5;574,75;9,58;2845
47411;LEBRUN;7;308,5;664;11,07;2208
63434;LAPORTE;7;308,5;679,5;11,33;2002
30458;ARNAUD;7;308,5;723;12,05;1352
52079;ROCHER;7;309;588,25;9,8;2896
88440;GROS;7;309;679;11,32;2012
24424;DELORME;7;309;686,75;11,45;1899
39007;CARLIER;7;309;713,25;11,89;1504
115903;LELIEVRE;7;309,5;533,75;8,9;3052
95189;VAILLANT;7;309,5;547;9,12;2996
49056;ROBERT;7;310;539,25;8,99;3029
20816;LOISEAU;7;310;540,25;9;3023
63964;DUPUIS;7;310;545,5;9,09;2999
64358;GILLET;7;310;558,25;9,3;2943
57656;CHAUVET;7;310;562,25;9,37;2922
74302;ROUSSEAU;7;310;564,5;9,41;2902
46919;CHAUVEAU;7;310;603,25;10,05;2809
66880;LELEU;7;310;648;10,8;2364
70802;DIAZ;7;310;651,5;10,86;2323
50972;DIAZ;7;310;697,5;11,63;1731
49807;PIRES;7;310;716,25;11,94;1460
40539;LEDUC;7;310,5;665;11,08;2197
61064;HENRY;7;310,5;699;11,65;1715
19724;LAMY;7;311;603,75;10,06;2801
118047;MEUNIER;7;311;604,25;10,07;2797
93999;BOYER;7;311;617,75;10,3;2697
107129;LOISEAU;7;311;647,5;10,79;2377
26974;ETIENNE;7;311;674,75;11,25;2066
30775;MAILLARD;7;311;683,75;11,4;1948
62051;AUBERT;7;311;690;11,5;1848
34663;GUILLOU;7;311,5;545,5;9,09;3000
68811;JEAN;7;311,5;549;9,15;2992
14941;HEBERT;7;311,5;553,5;9,23;2966
26549;ROSSI;7;311,5;555,25;9,25;2958
3903;BONNEAU;7;311,5;578;9,63;2829
21974;GARNIER;7;311,5;706,75;11,78;1610
32324;ROLLAND;7;312;550,25;9,17;2986
45735;PERON;7;312;560,25;9,34;2936
20318;SALMON;7;312;564,5;9,41;2904
25454;CLEMENT;7;312;585,25;9,75;2919
107433;MASSE;7;312;633,5;10,56;2546
50562;DUHAMEL;7;312;641;10,68;2460
840;GUYOT;7;312;642,25;10,7;2443
18689;MERLE;7;312;648,25;10,8;2360
74044;DUVAL;7;312;680,5;11,34;1991
19022;GOSSELIN;7;312;696,5;11,61;1747
71616;ROYER;7;312;705,25;11,75;1635
95982;LEFORT;7;312;730,25;12,17;1244
12060;GUIBERT;7;312,5;574,25;9,57;2850
16801;MARECHAL;7;312,5;577,25;9,62;2833
113086;LEMAIRE;7;312,5;612,75;10,21;2737
54013;DUVAL;7;312,5;697,5;11,63;1732
119064;MUNOZ;7;312,5;711,25;11,85;1541
83769;SALMON;7;312,5;727;12,12;1285
64853;LEMAITRE;7;313;581;9,68;2803
27125;MICHEL;7;313;605,75;10,1;2788
13092;ROBERT;7;313;615,5;10,26;2715
88847;GERMAIN;7;313;633,75;10,56;2544
34003;VALLEE;7;313;675;11,25;2063
118603;LANGLOIS;7;313;697,25;11,62;1736
108086;PIRES;7;313;697,75;11,63;1728
60226;MORENO;7;313;734,75;12,25;1195
29033;BOURDON;7;313;764,25;12,74;821
69753;OLLIVIER;7;313,5;534,75;8,91;3048
429;WEISS;7;313,5;534,5;8,91;3050
99918;JACQUES;7;313,5;541,5;9,03;3015
106951;ROBIN;7;313,5;691,75;11,53;1823
109296;CARRE;7;313,5;726,75;12,11;1288
75059;TANGUY;7;313,5;734,25;12,24;1199
24224;DUMAS;7;314;608,5;10,14;2767
113640;TEIXEIRA;7;314;609,75;10,16;2758
63108;POIRIER;7;314;624,25;10,4;2643
102701;MORVAN;7;314;650,25;10,84;2339
38980;BLANC;7;314;698,5;11,64;1723
23677;JULIEN;7;314;706,25;11,77;1617
70338;PINEAU;7;314;716,25;11,94;1461
89555;OLIVIER;7;314;790,75;13,18;509
